modelYear,fatalVehTotal,cellPhoneTotal,totalCases,Make
2008,135,2,309,Ford
2009,75,2,150,Ford
2010,102,1,245,Ford
2011,94,2,260,Ford
2012,88,1,246,Ford
2013,83,5,284,Ford
2014,112,3,328,Ford
2015,93,1,260,Ford
2016,66,1,207,Ford
2017,4,0,13,Ford
2008,13,0,25,Cadillac
2009,7,0,13,Cadillac
2010,5,0,20,Cadillac
2011,3,0,10,Cadillac
2012,3,1,17,Cadillac
2013,13,1,23,Cadillac
2014,3,0,11,Cadillac
2015,3,0,13,Cadillac
2016,7,1,12,Cadillac
2017,0,0,1,Cadillac
2008,9,1,23,Mercedes
2009,3,0,16,Mercedes
2010,6,0,16,Mercedes
2011,5,0,25,Mercedes
2012,6,0,11,Mercedes
2013,4,0,23,Mercedes
2014,6,0,24,Mercedes
2015,8,0,21,Mercedes
2016,4,0,18,Mercedes
2017,1,0,3,Mercedes
2008,4,0,14,Volvo
2009,2,0,4,Volvo
2010,3,0,5,Volvo
2011,0,0,1,Volvo
2012,3,0,5,Volvo
2013,2,0,5,Volvo
2014,1,0,1,Volvo
2015,1,0,3,Volvo
2016,3,0,8,Volvo
2017,0,0,0,Volvo